Atenas,Europa,3,Iberia,Acropolis Museum Boutique Hotel,Desayuno,1280
Atenas,Europa,4,Lufthansa,Athens Ikon Hotel,Media Pension,1810
Atenas,Europa,9,Delta Airlines,Holiday Inn Athens,Desayuno,2020
Atenas,Europa,15,Air Europa,Herodion Hotel,Todo Incluido,4000
Auckland,Oceania,6,LATAM Airlines,SOHO Hotel Auckland,Media Pension,1180
Auckland,Oceania,5,LATAM Airlines,The Convent Hotel,Media Pension,1350,18
Auckland,Oceania,11,LATAM Airlines,Pullman Auckland Airport,Media Pension,1820
Auckland,Oceania,14,LATAM Airlines,Mount Richmond Hotel,Todo Incluido,2760
Barcelona,Europa,6,Iberia,Hotel NH Barcelona,Desayuno,1450
Barcelona,Europa,10,Iberia,Hotel NH Barcelona,Desayuno,1800
Bangkok,Asia,3,LATAM Airlines,Sheraton Grande Sukhumvit,Desayuno,970
Bangkok,Asia,3,British Airways,Staybridge Suites Bangkok,Desayuno,1050
Bangkok,Asia,3,Air France,Amara Bangkok,Todo Incluido,1320
Bangkok,Asia,6,Air France,Banyan Tree Bangkok,Desayuno,2150
Berlin,Europa,6,Lufthansa,Berlin Plaza Hotel,Media Pension,1500
Berlin,Europa,8,Delta Airlines,Berlin Central Hotel,Todo Incluido,1600
Ciudad de Mexico,America,9,Aeromexico,Hotel CDMX,Desayuno,1350
Londres,Europa,4,British Airways,The London Inn,Media Pension,1500
Londres,Europa,5,Aerolineas Argentinas,The London Inn,Todo Incluido,1550
Londres,Europa,5,British Airways,The London Inn,Desayuno,1450
Londres,Europa,6,Lufthansa,The London Inn,Media Pension,1600
Madrid,Europa,7,Iberia,Hotel Madrid Centro,Todo Incluido,1550
Madrid,Europa,5,Air Europa,Hotel Madrid Centro,Desayuno,1500
Nueva Delhi,Asia,8,British Airways,Delhi Palace Hotel,Media Pension,2100
Nueva York,America,10,Aerolineas Argentinas,NYC Plaza,Todo Incluido,1800
Nueva York,America,12,Delta Airlines,NYC Plaza,Desayuno,1900
Nueva York,America,8,Delta Airlines,The Central Park North,Media Pension,1600
Paris,Europa,7,Air France,Hotel Parisien,Todo Incluido,1700
Paris,Europa,5,Air France,Hotel Parisien,Desayuno,1400
Rio de Janeiro,America,7,LATAM Airlines,Hotel Atlantico Copacabana,Todo Incluido,1050
Rio de Janeiro,America,5,Aerolinas Argentinas,Hotel Atlantico Copacabana,Desayuno,900
Rio de Janeiro,America,10,LATAM Airlines,Hotel Atlantico Copacabana,Media Pension,1250
Seul,Asia,5,Delta Airlines,Seoul Central Hotel,Todo Incluido,1450
Sidney,Oceania,8,Delta Airlines,Sydney Harbour Hotel,Desayuno,2200
Tokio,Asia,7,Delta Airlines,Tokyo Grand Hotel,Media Pension,2000
Tokio,Asia,9,Delta Airlines,Tokyo Grand Hotel,Media Pension,2200
Montevideo,America,10,Aerolinea Cualquiera,Hotel Hola,Desayuno,2500
